Input,Output
"Axe, toxic element, legendary",Blight-Scythe
"Orb, toxic element, rare",The Breaker of Decay
"Spear, toxic element, legendary",Legendary Fury of Mire
"Bow, poison element, common",Venom-Edge
"Staff, void element, common",Common Staff of Void
"Scythe, shadow element, uncommon",The Kris of Umbral
"Sword, blood element, uncommon",Uncommon Lance of Hemorrhage
"Whip, lightning element, rare",Thunder of the Maul
"Spear, toxic element, rare",Decay-Talon
"Axe, light element, uncommon",RadiantWand
"Whip, toxic element, legendary",BlightTalon
"Sword, earth element, mythic",Mythic Claw of Terra
"Sword, void element, mythic",The Edge of Blackhole
"Crossbow, water element, ancient",The Reaver of Wave
"Spear, water element, uncommon",Uncommon Hammer of Flood
"Sword, poison element, rare",Toxic of the Breaker
"Axe, shadow element, legendary",The Reaver of Gloom
"Gauntlet, earth element, mythic",Quake of the Blade
"Hammer, blood element, mythic",Sanguine of the Staff
"Dagger, toxic element, uncommon",The Kris of Blight
"Spear, shadow element, epic",The Hammer of Shade
"Staff, light element, uncommon",SunBreaker
"Whip, fire element, uncommon",The Kris of Inferno
"Staff, light element, ancient",The Scythe of Luminous
"Wand, ice element, rare",IceShard
"Whip, poison element, epic",The Scythe of Venom
"Orb, storm element, mythic",Mythic Shard of Squall
"Scythe, holy element, uncommon",The Spire of Blessed
"Axe, ice element, epic",The Kris of Chill
"Dagger, toxic element, ancient",Mire of the Wand
"Hammer, toxic element, ancient",Blight-Hammer
"Mace, arcane element, uncommon",Mana of the Breaker
"Crossbow, shadow element, rare",DuskReaver
"Dagger, toxic element, rare",Mire-Shard
"Shield, poison element, common",Plague of the Wand
"Gauntlet, water element, legendary",Aqua of the Blade
"Orb, toxic element, mythic",MireSpire
"Axe, toxic element, uncommon",Decay of the Scythe
"Orb, light element, rare",Rare Spire of Radiant
"Gauntlet, toxic element, legendary",DecayEdge
"Axe, earth element, mythic",Boulder-Wand
"Bow, void element, ancient",Null of the Edge
"Wand, shadow element, mythic",Gloom-Whisper
"Bow, toxic element, mythic",Mythic Lance of Toxic
"Staff, void element, ancient",Abyss-Breaker
"Dagger, holy element, epic",DivineAegis
"Bow, blood element, common",Hemorrhage-Staff
"Spear, storm element, legendary",Rain of the Whisper
"Staff, shadow element, common",Umbral of the Glaive
"Staff, poison element, common",Fang-Staff
"Bow, blood element, mythic",The Fang of Sanguine
"Spear, shadow element, mythic",Night-Slicer
"Orb, ice element, mythic",Chill-Blade
"Crossbow, blood element, mythic",Crimson-Wand
"Staff, holy element, common",Faith of the Maul
"Mace, void element, common",Dark-Staff
"Hammer, fire element, legendary",The Scythe of Pyro
"Spear, arcane element, ancient",Mystic of the Edge
"Spear, poison element, legendary",Legendary Cutter of Toxic
"Shield, toxic element, mythic",Corrupt of the Whisper
"Mace, shadow element, ancient",UmbralFury
"Sword, earth element, common",StoneGlaive
"Mace, ice element, mythic",Chill of the Maul
"Shield, shadow element, epic",The Fang of Night
"Axe, arcane element, mythic",The Cutter of Arcana
"Whip, toxic element, common",The Blade of Mire
"Hammer, holy element, epic",FaithWand
"Axe, fire element, common",Common Blade of Ember
"Wand, holy element, uncommon",Divine of the Staff
"Wand, holy element, mythic",Mythic Slicer of Sacred
"Sword, ice element, ancient",SnowLance
"Spear, ice element, epic",Epic Talon of Chill
"Staff, storm element, legendary",RainGlaive
"Bow, holy element, uncommon",The Wand of Blessed
"Shield, fire element, mythic",Mythic Kris of Pyro
"Orb, water element, mythic",Tide-Lance
"Sword, earth element, legendary",Legendary Shard of Boulder
"Crossbow, ice element, rare",Glacier of the Spire
"Wand, ice element, ancient",The Blade of Glacier
"Wand, lightning element, rare",BoltLance
"Mace, water element, common",Tide-Scythe
"Mace, void element, epic",Blackhole of the Slicer
"Spear, wind element, epic",The Cutter of Zephyr
"Dagger, ice element, ancient",ChillKris
"Scythe, shadow element, legendary",Umbral-Claw
"Hammer, toxic element, mythic",Mythic Shard of Decay
"Crossbow, toxic element, mythic",Mythic Scythe of Corrupt
"Spear, blood element, legendary",Sanguine-Staff
"Whip, wind element, rare",Rare Fury of Storm
"Dagger, ice element, legendary",Glacier-Scythe
"Shield, light element, uncommon",Radiant-Kris
"Scythe, ice element, epic",IceBlade
"Bow, arcane element, ancient",Mystic-Whisper
"Sword, holy element, rare",Rare Slicer of Sacred
"Orb, lightning element, rare",Rare Cutter of Spark
"Spear, storm element, epic",Rain-Kris
"Orb, blood element, mythic",BloodShard
"Sword, blood element, rare",Sanguine of the Breaker
"Dagger, holy element, rare",The Aegis of Grace
"Staff, toxic element, mythic",Blight of the Kris
"Mace, ice element, uncommon",Uncommon Scythe of Snow
"Orb, toxic element, epic",ToxicReaver
"Wand, water element, epic",Epic Breaker of Tide
"Staff, blood element, ancient",Ancient Claw of Blood
"Bow, water element, legendary",AquaMaul
"Gauntlet, wind element, common",Storm-Slicer
"Mace, arcane element, mythic",Mythic Staff of Mystic
"Gauntlet, earth element, common",The Kris of Stone
"Dagger, arcane element, epic",The Lance of Mana
"Scythe, fire element, common",Blaze-Claw
"Wand, blood element, common",Pulse-Slicer
"Dagger, poison element, legendary",The Shard of Venom
"Dagger, water element, rare",WaveWand
"Crossbow, ice element, mythic",ChillAegis
"Gauntlet, holy element, legendary",Sacred-Kris
"Crossbow, void element, epic",Void of the Lance
"Orb, void element, rare",Abyss of the Scythe
"Axe, blood element, rare",Sanguine of the Talon
"Shield, wind element, ancient",The Reaver of Whirl
"Wand, shadow element, epic",Gloom of the Scythe
"Dagger, shadow element, common",Common Fury of Shade
"Crossbow, wind element, ancient",Whirl of the Kris
"Sword, wind element, mythic",WhirlCutter
"Scythe, poison element, legendary",Plague of the Blade
"Orb, void element, common",Null-Scythe
"Bow, ice element, rare",Frost of the Claw
"Orb, poison element, legendary",Legendary Wand of Acid
"Mace, wind element, uncommon",Uncommon Scythe of Storm
"Spear, water element, common",Flood of the Fury
"Shield, arcane element, mythic",Mythic Spire of Mystic
"Spear, earth element, rare",Root-Kris
"Dagger, fire element, ancient",Ember-Talon
"Sword, light element, rare",Luminous of the Kris
"Spear, void element, mythic",The Aegis of Blackhole
"Crossbow, holy element, rare",Faith of the Hammer
"Bow, ice element, ancient",Glacier-Reaver
"Mace, toxic element, legendary",Toxic-Glaive
"Bow, fire element, epic",The Spire of Inferno
"Orb, earth element, ancient",Ancient Shard of Boulder
"Orb, lightning element, legendary",Spark-Whisper
"Sword, wind element, uncommon",Uncommon Claw of Gale
"Sword, lightning element, epic",ThunderStaff
"Shield, water element, uncommon",Deep-Reaver
"Spear, arcane element, epic",Epic Breaker of Mana
"Crossbow, shadow element, legendary",DuskWhisper
"Bow, ice element, common",Ice of the Fang
"Staff, earth element, mythic",The Scythe of Quake
"Scythe, storm element, ancient",Squall of the Lance
"Axe, arcane element, uncommon",Rune of the Maul
"Orb, poison element, ancient",Fang of the Fury
"Gauntlet, blood element, common",Common Scythe of Hemorrhage
"Staff, light element, rare",Aurora of the Reaver
"Hammer, arcane element, rare",The Warden of Spell
"Dagger, arcane element, common",Mana of the Talon
"Scythe, earth element, uncommon",The Staff of Stone
"Dagger, poison element, uncommon",Venom of the Slicer
"Wand, storm element, uncommon",Storm of the Cutter
"Scythe, toxic element, uncommon",Blight-Breaker
"Wand, shadow element, rare",Rare Wand of Umbral
"Wand, earth element, common",The Reaver of Root
"Orb, storm element, legendary",Legendary Cutter of Rain
"Sword, light element, ancient",Aurora of the Glaive
"Shield, void element, mythic",The Fury of Null
"Staff, fire element, uncommon",Inferno of the Hammer
"Axe, light element, mythic",Mythic Scythe of Halo
"Scythe, poison element, common",PlagueCutter
"Bow, blood element, epic",Epic Cutter of Sanguine
"Sword, earth element, rare",Quake of the Edge
"Mace, ice element, epic",Glacier of the Lance
"Gauntlet, lightning element, rare",Volt-Aegis
"Scythe, toxic element, ancient",CorruptBlade
"Crossbow, fire element, rare",Ember of the Talon
"Axe, fire element, rare",The Glaive of Ember
"Shield, storm element, common",The Kris of Cloud
"Orb, ice element, uncommon",Uncommon Breaker of Snow
"Orb, light element, legendary",Luminous-Lance
"Wand, light element, ancient",The Maul of Radiant
"Spear, shadow element, legendary",Dusk-Spire
"Scythe, wind element, legendary",BreezeHammer
"Gauntlet, arcane element, ancient",The Fang of Rune
"Sword, storm element, rare",Rain-Spire
"Bow, holy element, rare",SacredGlaive
"Bow, wind element, common",Common Shard of Breeze
"Axe, fire element, uncommon",FlameReaver
"Whip, storm element, ancient",The Fury of Storm
"Crossbow, light element, rare",The Maul of Halo
"Wand, water element, mythic",The Slicer of Deep
"Orb, shadow element, ancient",Ancient Shard of Shade
"Axe, shadow element, epic",The Fury of Shade
"Spear, light element, common",Halo of the Claw
"Shield, void element, legendary",BlackholeTalon
"Dagger, wind element, ancient",Breeze of the Talon
"Wand, earth element, mythic",TerraShard
"Crossbow, water element, rare",Rare Kris of Aqua
"Crossbow, wind element, rare",Rare Breaker of Breeze
"Wand, ice element, epic",Chill of the Whisper
"Hammer, toxic element, rare",Blight-Kris
"Wand, light element, common",Luminous of the Aegis
"Scythe, water element, uncommon",Flood of the Cutter
"Shield, poison element, legendary",The Maul of Toxic
"Bow, wind element, uncommon",ZephyrKris
"Orb, lightning element, mythic",Mythic Wand of Spark
"Bow, light element, ancient",Sun-Staff
"Orb, arcane element, rare",MysticFury
"Hammer, ice element, epic",The Kris of Frost
"Orb, earth element, epic",RootShard
"Staff, lightning element, rare",Rare Breaker of Bolt
"Whip, earth element, ancient",Ancient Aegis of Quake
"Shield, arcane element, common",ManaBreaker
"Dagger, storm element, rare",Cloud of the Blade
"Crossbow, holy element, common",The Edge of Faith
"Bow, toxic element, legendary",Legendary Warden of Decay
"Bow, poison element, epic",Fang of the Cutter
"Bow, shadow element, mythic",Gloom-Wand
"Whip, shadow element, ancient",NightHammer
"Staff, shadow element, rare",Umbral of the Lance
"Staff, holy element, epic",Sacred of the Shard
"Wand, storm element, ancient",StormWarden
"Sword, holy element, mythic",The Warden of Faith
"Sword, lightning element, legendary",Bolt-Warden
"Axe, light element, legendary",The Staff of Radiant
"Sword, ice element, legendary",The Maul of Snow
"Hammer, blood element, legendary",Crimson of the Wand
"Orb, void element, ancient",Void-Staff
"Wand, toxic element, ancient",Corrupt-Talon
"Scythe, light element, uncommon",HaloBlade
"Whip, poison element, uncommon",ToxicCutter
"Spear, holy element, mythic",The Kris of Grace
"Sword, fire element, common",Common Cutter of Blaze
"Bow, light element, epic",SunBlade
"Orb, toxic element, common",The Wand of Decay
"Orb, shadow element, epic",Epic Cutter of Gloom
"Whip, arcane element, mythic",The Edge of Spell
"Spear, blood element, rare",Rare Slicer of Pulse
"Sword, lightning element, uncommon",Volt of the Scythe
"Bow, water element, rare",FloodClaw
"Wand, arcane element, ancient",ArcanaScythe
"Dagger, lightning element, ancient",Ancient Cutter of Thunder
"Gauntlet, fire element, legendary",Inferno-Fang
"Bow, arcane element, rare",Spell of the Scythe
"Shield, blood element, ancient",Sanguine-Fury
"Shield, storm element, uncommon",Uncommon Breaker of Squall
"Crossbow, earth element, uncommon",Uncommon Edge of Boulder
"Gauntlet, lightning element, epic",Thunder of the Slicer
"Spear, blood element, common",PulseEdge
"Dagger, water element, epic",The Cutter of Deep
"Crossbow, earth element, ancient",Ancient Kris of Terra
"Spear, void element, legendary",Legendary Claw of Abyss
"Spear, wind element, ancient",The Reaver of Gale
"Staff, wind element, ancient",The Spire of Storm
"Scythe, shadow element, rare",The Reaver of Night
"Whip, storm element, mythic",Mythic Lance of Tempest
"Dagger, holy element, common",SacredEdge
"Gauntlet, poison element, rare",The Slicer of Acid
"Hammer, toxic element, epic",Epic Fang of Corrupt
"Wand, toxic element, epic",Toxic of the Whisper
"Staff, toxic element, epic",MireLance
"Crossbow, ice element, common",GlacierCutter
"Sword, ice element, common",GlacierKris
"Spear, wind element, mythic",Gale-Scythe
"Whip, poison element, rare",Toxic of the Slicer
"Scythe, water element, mythic",The Lance of Aqua
"Bow, lightning element, epic",BoltStaff
"Gauntlet, holy element, rare",Blessed of the Maul
"Orb, ice element, epic",The Shard of Chill
"Crossbow, arcane element, common",Common Fury of Mana
"Mace, light element, uncommon",The Slicer of Radiant
"Shield, water element, mythic",Tide-Hammer
"Orb, toxic element, ancient",Ancient Glaive of Toxic
"Shield, storm element, epic",Storm-Kris
"Shield, ice element, legendary",IceWand
"Spear, earth element, legendary",Terra of the Claw
"Scythe, blood element, rare",Pulse-Blade
"Scythe, water element, legendary",Deep-Shard
"Orb, wind element, uncommon",Storm-Maul
"Spear, storm element, common",Common Wand of Rain
"Scythe, lightning element, ancient",Thunder-Hammer
"Mace, arcane element, rare",Arcana of the Staff
"Axe, holy element, legendary",Legendary Reaver of Grace
"Orb, fire element, ancient",The Talon of Flame
"Dagger, holy element, ancient",The Breaker of Grace
"Scythe, void element, uncommon",Blackhole-Fury
"Dagger, shadow element, mythic",The Glaive of Gloom
"Gauntlet, ice element, uncommon",Snow of the Warden
"Mace, shadow element, rare",Night of the Glaive
"Spear, water element, ancient",The Kris of Deep
"Shield, earth element, legendary",Legendary Aegis of Terra
"Orb, wind element, common",The Edge of Breeze
"Mace, toxic element, common",The Aegis of Corrupt
"Wand, earth element, ancient",Ancient Aegis of Terra
"Gauntlet, poison element, common",ToxicWand
"Staff, ice element, common",Chill of the Claw
"Staff, earth element, legendary",Stone of the Maul
"Wand, earth element, uncommon",Terra-Shard
"Crossbow, arcane element, uncommon",Uncommon Kris of Rune
"Whip, lightning element, epic",Volt of the Maul
"Shield, fire element, legendary",Inferno-Spire
"Bow, void element, mythic",The Whisper of Null
"Mace, shadow element, legendary",Umbral-Breaker
"Spear, wind element, legendary",ZephyrWand
"Scythe, earth element, legendary",Stone-Shard
"Sword, fire element, ancient",BlazeAegis
"Sword, toxic element, rare",Decay-Lance
"Mace, poison element, rare",Rare Breaker of Toxic
"Sword, poison element, ancient",Toxic-Reaver
"Scythe, lightning element, uncommon",The Talon of Bolt
"Sword, holy element, legendary",Blessed of the Spire
"Gauntlet, void element, mythic",DarkHammer
"Whip, arcane element, epic",The Edge of Mana
"Crossbow, storm element, uncommon",CloudCutter
"Sword, water element, mythic",Deep-Fang
"Dagger, light element, uncommon",The Fang of Radiant
"Bow, water element, ancient",FloodBlade
"Sword, toxic element, uncommon",Toxic of the Wand
"Hammer, fire element, uncommon",The Spire of Pyro
"Dagger, wind element, common",Breeze of the Glaive
"Mace, holy element, rare",Grace-Wand
"Gauntlet, toxic element, ancient",Ancient Breaker of Blight
"Shield, light element, ancient",The Whisper of Aurora
"Axe, wind element, common",The Aegis of Whirl
"Axe, shadow element, rare",The Scythe of Dusk
"Gauntlet, lightning element, mythic",Mythic Breaker of Spark
"Mace, toxic element, rare",Mire-Slicer
"Bow, shadow element, ancient",Ancient Shard of Night
"Gauntlet, fire element, ancient",Ancient Spire of Blaze
"Crossbow, toxic element, epic",Epic Reaver of Decay
"Whip, earth element, common",Common Scythe of Quake
"Spear, blood element, uncommon",Sanguine of the Scythe
"Hammer, wind element, uncommon",WhirlSpire
"Staff, shadow element, legendary",Legendary Spire of Dusk
"Sword, wind element, legendary",Whirl-Claw
"Whip, arcane element, rare",Mystic-Maul
"Whip, storm element, rare",Tempest of the Maul
"Sword, storm element, legendary",Legendary Shard of Rain
"Mace, arcane element, legendary",Mana of the Blade
"Crossbow, light element, legendary",Luminous of the Warden
"Mace, arcane element, ancient",Ancient Hammer of Spell
"Shield, blood element, rare",HemorrhageSpire
"Dagger, holy element, mythic",Blessed-Breaker
"Spear, holy element, common",Faith of the Kris
"Shield, light element, legendary",HaloBreaker
"Gauntlet, ice element, mythic",Chill-Lance
"Shield, water element, legendary",Aqua of the Reaver
"Crossbow, water element, epic",Epic Fang of Aqua
"Hammer, shadow element, ancient",The Staff of Shade
"Wand, wind element, rare",The Breaker of Breeze
"Whip, void element, legendary",Legendary Wand of Null
"Sword, void element, ancient",The Reaver of Blackhole
"Dagger, toxic element, legendary",Legendary Claw of Blight
"Whip, light element, ancient",Aurora-Slicer
"Staff, void element, mythic",BlackholeWarden
"Dagger, water element, mythic",Mythic Edge of Aqua
"Dagger, lightning element, mythic",VoltScythe
"Orb, holy element, common",DivineGlaive
"Staff, ice element, uncommon",The Spire of Glacier
"Crossbow, earth element, mythic",Mythic Scythe of Quake
"Sword, toxic element, common",Mire-Kris
"Scythe, blood element, mythic",CrimsonEdge
"Dagger, ice element, uncommon",The Wand of Chill
"Orb, holy element, rare",The Warden of Blessed
"Whip, light element, common",LuminousReaver
"Dagger, light element, ancient",The Claw of Radiant
"Hammer, arcane element, legendary",Rune of the Shard
"Hammer, ice element, legendary",Snow-Lance
"Bow, earth element, mythic",The Breaker of Boulder
"Shield, light element, rare",Sun of the Staff
"Bow, toxic element, ancient",The Warden of Decay
"Whip, water element, rare",Deep of the Fury
"Spear, lightning element, ancient",The Staff of Bolt
"Shield, ice element, ancient",ChillWhisper
"Whip, blood element, ancient",SanguineKris
"Gauntlet, shadow element, ancient",Shade-Spire
"Shield, earth element, ancient",Stone-Cutter
"Crossbow, storm element, epic",RainSlicer
"Gauntlet, ice element, legendary",The Breaker of Glacier
"Orb, arcane element, common",ArcanaBlade
"Gauntlet, holy element, epic",SacredWhisper
"Crossbow, shadow element, ancient",DuskAegis
"Shield, lightning element, ancient",ShockReaver
"Axe, void element, rare",The Reaver of Void
"Orb, shadow element, legendary",Legendary Talon of Dusk
"Bow, storm element, mythic",StormSlicer
"Mace, blood element, legendary",Hemorrhage-Aegis
"Crossbow, ice element, legendary",SnowAegis
"Shield, water element, epic",Epic Whisper of Tide
"Whip, light element, uncommon",Aurora of the Breaker
"Staff, water element, rare",WaveReaver
"Axe, void element, uncommon",Uncommon Slicer of Dark
"Gauntlet, lightning element, common",Volt of the Glaive
"Scythe, ice element, ancient",The Spire of Snow
"Staff, wind element, common",Gale of the Staff
"Scythe, ice element, common",Common Claw of Chill
"Orb, water element, common",WaveClaw
"Orb, wind element, rare",Zephyr-Fury
"Scythe, blood element, common",The Slicer of Pulse
"Shield, holy element, uncommon",The Reaver of Divine
"Shield, holy element, rare",Rare Fury of Blessed
"Wand, shadow element, common",Gloom of the Talon
"Scythe, toxic element, epic",The Shard of Mire
"Gauntlet, poison element, uncommon",Uncommon Slicer of Plague
"Mace, wind element, legendary",Legendary Breaker of Gale
"Shield, void element, rare",Dark of the Lance
"Mace, storm element, rare",The Fang of Squall
"Mace, shadow element, common",GloomBreaker
"Mace, fire element, uncommon",Flame of the Whisper
"Mace, poison element, epic",Plague of the Reaver
"Mace, fire element, mythic",Mythic Breaker of Blaze
"Staff, holy element, rare",GraceEdge
"Whip, void element, common",DarkAegis
"Bow, storm element, uncommon",StormShard
"Crossbow, water element, uncommon",Tide-Breaker
"Mace, light element, legendary",The Scythe of Aurora
"Crossbow, wind element, common",Common Maul of Whirl
"Dagger, poison element, rare",The Lance of Acid
"Axe, void element, mythic",The Fury of Dark
"Axe, water element, rare",Wave of the Aegis
"Hammer, light element, uncommon",Sun-Maul
"Spear, void element",Dark-Warden
"Axe, void element",Dark-Reaver
"Mace, lightning element",Thunder-Shard
"Axe, storm element",Rain-Fury
"Scythe, wind element",Gale-Slicer
"Scythe, lightning element",Shock-Kris
"Scythe, toxic element",Toxic-Glaive
"Axe, toxic element",Corrupt-Staff
"Gauntlet, light element",Halo-Edge
"Spear, earth element",Root-Warden
"Crossbow, fire element",Inferno-Maul
"Hammer, toxic element",Mire-Wand
"Spear, shadow element",Gloom-Kris
"Gauntlet, water element",Wave-Fury
"Orb, void element",Abyss-Slicer
"Wand, blood element",Crimson-Shard
"Whip, arcane element",Mystic-Claw
"Sword, toxic element",Mire-Breaker
"Mace, light element",Sun-Kris
"Dagger, blood element",Crimson-Shard
"Mace, earth element",Stone-Shard
"Sword, blood element",Sanguine-Maul
"Hammer, fire element",Blaze-Talon
"Hammer, ice element",Glacier-Scythe
"Scythe, void element",Null-Spire
"Wand, earth element",Terra-Spire
"Wand, poison element",Plague-Aegis
"Orb, ice element",Glacier-Scythe
"Gauntlet, earth element",Terra-Wand
"Wand, fire element",Inferno-Claw
"Gauntlet, void element",Null-Whisper
"Whip, ice element",Ice-Fang
"Wand, void element",Void-Lance
"Scythe, light element",Luminous-Maul
"Staff, storm element, legendary",RainEdge
"Sword, holy element, legendary",Blessed of the Shard of Boulder
"Sword, light element, rare",Luminous of the Warden
"Mace, wind element, legendary",Legendary Maul
"Sword, earth element, legendary",Legendary Kris
"Sword, storm element, rare",Rain-Whisper of Tide
"Axe, wind element, common",The Reaver of Divine
"Dagger, shadow element, mythic",The Glaive
"Wand, storm element, uncommon",Storm of the Shard
"Crossbow, ice element, legendary",SnowKris
"Gauntlet, fire element, legendary",Inferno-Glaive
"Staff, holy element, rare",GraceFang of Sanguine
"Dagger, ice element, ancient",ChillWand
"Orb, holy element, rare",The Aegis
"Spear, earth element, rare",Root-Breaker
"Dagger, lightning element, common",The Slicer of Pulse
"Gauntlet, fire element, ancient",Ancient Shard
"Bow, toxic element, ancient",The Staff
"Staff, void element, ancient",Abyss-Shard
"Axe, earth element, mythic",Boulder-Cutter
"Bow, poison element, epic",Fang of the Spire
"Mace, shadow element, common",GloomMaul
"Sword, fire element, common",Common Cutter of Arcana
"Axe, void element, uncommon",Uncommon Fury of Shade
"Sword, toxic element, uncommon",Toxic of the Fang of Rune
"Bow, void element, ancient",Null of the Glaive
"Orb, toxic element, common",The Lance
"Bow, ice element, common",Ice of the Kris
"Bow, void element, mythic",The Scythe of Pyro
"Sword, lightning element, uncommon",Volt of the Aegis of Abyss
"Mace, poison element, rare",Rare Wand
"Shield, light element, legendary",HaloReaver of Grace
"Hammer, shadow element, ancient",The Hammer
"Gauntlet, arcane element, ancient",The Talon
"Shield, wind element, ancient",The Reaver of Divine
"Scythe, water element, mythic",The Slicer
"Orb, ice element, epic",The Maul
"Gauntlet, fire element, legendary",Inferno-Blade of Abyss
"Scythe, lightning element, rare",SparkBreaker of Tide
"Shield, earth element, legendary",Legendary Edge
"Sword, toxic element",Mire-Blade
"Orb, blood element, mythic",BloodFury of Shade
"Shield, void element, rare",Dark of the Reaver
"Whip, poison element, mythic",FangMaul
"Orb, void element, common",Null-Fury
"Mace, light element, legendary",The Claw of Blood
"Crossbow, ice element, common",GlacierWand of Bolt
"Gauntlet, shadow element, ancient",Shade-Cutter of Volt
"Axe, light element, legendary",The Fury of Blessed
"Spear, shadow element, legendary",Dusk-Aegis
"Wand, storm element, ancient",StormAegis
"Wand, earth element, mythic",TerraCutter
"Wand, holy element, common",Grace-Aegis
"Wand, poison element, uncommon",Uncommon Shard of Breeze
"Staff, fire element, uncommon",Inferno of the Aegis
"Crossbow, water element, ancient",The Kris
"Orb, toxic element, rare",The Edge of Mana
"Shield, void element, epic",The Spire
"Spear, void element, legendary",Legendary Edge
"Whip, water element, rare",Deep of the Reaver
"Spear, toxic element, legendary",Legendary Whisper
"Shield, earth element, legendary",Legendary Cutter of Toxic
"Staff, wind element, legendary",The Wand of Bolt
"Wand, lightning element, rare",BoltWhisper
"Dagger, poison element, legendary",The Reaver
"Gauntlet, lightning element, mythic",Mythic Glaive
"Scythe, light element, uncommon",HaloBreaker
"Sword, blood element, rare",Sanguine of the Reaver
"Sword, ice element, legendary",The Fury of Mire
"Bow, holy element, rare",SacredStaff of Bolt
"Wand, poison element, rare",VenomTalon
"Orb, arcane element, legendary",Rune-Kris of Blight
"Scythe, lightning element",Shock-Blade
"Hammer, toxic element",Mire-Scythe
"Gauntlet, void element, mythic",DarkKris
"Whip, void element, legendary",Legendary Cutter of Gloom
"Orb, wind element, uncommon",Storm-Scythe of Aurora
"Scythe, light element, uncommon",HaloWand of Blessed
"Orb, toxic element, mythic",MireSlicer
"Gauntlet, blood element, uncommon",Sanguine-Breaker
"Axe, void element",Dark-Fang of Umbral
"Mace, void element, epic",Blackhole of the Edge of Fang
"Wand, ice element, rare",IceWand
"Spear, wind element, epic",The Wand of Void
"Bow, toxic element, mythic",Mythic Scythe of Dark
"Wand, water element, epic",Epic Aegis
